Title;Title_cat
Holman Squat Pulse to Plyometric Jump;1496
Holman Hands Down Heel Click;1333
Holman Straight Plank to Kick-Up;1530
Holman Hands-Elevated Split Jack;1339
Holman Feet-Elevated Plank Reach;1305
Holman Hand-Elevated Side Plank Semicircle;1331
Holman Hands-Elevated Straight Plank Pike;1341
Holman Alternating Rolling Elbow Plank;1223
Holman Elbow Plank Jack;1280
Holman Squat Thrust to Alternating Knee-In;1501
Holman Supine Double Pike;1540
Holman Elbow Plank Alternating Pike;1279
Holman Seated Killer Abs;1466
Holman Side Plank Hip Drop;1473
Holman Wide Hill Climber;1606
Holman Straight-Legged Bicycle;1537
Holman Stair Toe Tap;1511
Holman Elbow Plank Ninja;1283
Holman Traveling Stair Climb Push-Up;1564
Holman Hands-Elevated Burpee;1335
Holman Straight Plank Donkey Kick;1518
Holman Feet-Elevated Straight Plank Pike Pull;1311
Holman Towel Burpee;1545
Holman Elbow Plank to Alternating Side Plank Crunch;1289
Holman Straight-Legged Hip Raise;1539
Holman Feet-Elevated Hill Climber;1299
Holman Ninja Knee Hill Climber;1407
Holman Feet-Elevated Shoulder Tap;1309
Holman Feet-Elevated Hip Raise;1300
Holman Left Hand Right Foot Crab Reach;1380
Holman Alternating Crab Flip to Froggy Push-Up to Kicks;1211
Holman Right Hand Left Foot Sleeping Crab;1445
Holman Left Hand Right Foot Sleeping Crab;1381
Holman Straight Plank with Alternating Leg Kick-Under;1532
Holman Right Hip Drop Push-Up;1446
Holman Right Side Diagonal Burpee;1457
